suburb,Year,House price,Vacant Price,Unit price,Average
ALFREDTON,2015,340500,180000,254000,258166.6667
ALFREDTON,2016,375000,183500,285000,281166.6667
ALFREDTON,2017,412500,152000,290000,284833.3333
ALFREDTON,2018,439000,155000,242000,278666.6667
DONCASTER,2019,1251500,995000,620000,955500
ALTONA NORTH,2015,645000,484000,530000,553000
ALTONA NORTH,2016,726000,416000,532000,558000
ALTONA NORTH,2017,828000,284500,635000,582500
ALTONA NORTH,2018,840000,403500,650000,631166.6667
MOUNT MARTHA,2019,1252500,915000,650000,939166.6667
ANGLESEA,2015,635000,420000,461500,505500
ANGLESEA,2016,652500,380000,570000,534166.6667
ANGLESEA,2017,788000,448000,670000,635333.3333
ANGLESEA,2018,861000,550000,690000,700333.3333
MOUNT ELIZA,2019,1157500,850000,595000,867500
APOLLO BAY,2015,435000,190000,375000,333333.3333
APOLLO BAY,2016,480000,182500,415000,359166.6667
APOLLO BAY,2017,545000,185000,415000,381666.6667
APOLLO BAY,2018,550000,225000,375000,383333.3333
ANGLESEA,2019,905000,675000,755000,778333.3333
ARARAT,2015,210000,83500,170000,154500
ARARAT,2016,204500,50000,191500,148666.6667
ARARAT,2017,200000,97500,133500,143666.6667
ARARAT,2018,199000,99500,209000,169166.6667
MULGRAVE,2019,840000,706500,731000,759166.6667
BACCHUS MARSH,2015,355000,152000,279000,262000
BACCHUS MARSH,2016,376000,148000,287000,270333.3333
BACCHUS MARSH,2017,415500,165000,305000,295166.6667
BACCHUS MARSH,2018,480000,215000,294000,329666.6667
MORNINGTON,2019,800000,765000,643000,736000
BAIRNSDALE,2015,246500,97500,216000,186666.6667
BAIRNSDALE,2016,255000,106000,211500,190833.3333
BAIRNSDALE,2017,270000,107500,225000,200833.3333
BAIRNSDALE,2018,276000,117500,215000,202833.3333
WILLIAMSTOWN NORTH,2019,915000,513000,737500,721833.3333
BALLAN,2015,359000,133000,315000,269000
BALLAN,2016,370000,135000,320000,275000
BALLAN,2017,417000,140000,340000,299000
BALLAN,2018,462000,172500,390000,341500
WANTIRNA SOUTH,2019,988500,605000,495000,696166.6667
BALLARAT EAST,2015,275000,108500,267000,216833.3333
BALLARAT EAST,2016,295000,106000,230000,210333.3333
BALLARAT EAST,2017,310000,142500,272500,241666.6667
BALLARAT EAST,2018,340000,147500,282500,256666.6667
SAFETY BEACH,2019,785000,570000,665000,673333.3333
BEACONSFIELD,2015,559000,200500,400500,386666.6667
BEACONSFIELD,2016,585000,205000,398000,396000
BEACONSFIELD,2017,694500,263000,463000,473500
BEACONSFIELD,2018,730000,277500,460000,489166.6667
KEYSBOROUGH,2019,740000,542000,590500,624166.6667
BELL PARK,2015,340000,125500,293000,252833.3333
BELL PARK,2016,360000,104000,316000,260000
BELL PARK,2017,400000,153000,343000,298666.6667
BELL PARK,2018,452500,167500,392000,337333.3333
BELMONT,2015,395000,180000,310000,295000
BELMONT,2016,430000,129500,300000,286500
BELMONT,2017,500000,450000,356000,435333.3333
BELMONT,2018,545000,220000,388500,384500
BENALLA,2015,222500,104000,186000,170833.3333
BENALLA,2016,231500,100000,181500,171000
BENALLA,2017,250000,96500,185000,177166.6667
BENALLA,2018,284000,113000,185000,194000
BERWICK,2015,535000,289000,425000,416333.3333
BERWICK,2016,583000,331000,427000,447000
BERWICK,2017,670000,385000,492000,515666.6667
BERWICK,2018,691500,455000,515000,553833.3333
BITTERN,2015,382500,41000,355000,259500
BITTERN,2016,464000,315000,340000,373000
BITTERN,2017,526500,320000,433000,426500
BITTERN,2018,650000,560000,497500,569166.6667
BRIGHT,2015,392500,177500,260000,276666.6667
BRIGHT,2016,429500,209000,273000,303833.3333
BRIGHT,2017,495000,229000,349000,357666.6667
BRIGHT,2018,590000,272500,342500,401666.6667
BROOKFIELD,2015,340000,142000,212500,231500
BROOKFIELD,2016,360000,150000,273000,261000
BROOKFIELD,2017,425000,162000,335000,307333.3333
BROOKFIELD,2018,491500,218000,400000,369833.3333
BROWN HILL,2015,270000,162500,249000,227166.6667
BROWN HILL,2016,338000,180000,247500,255166.6667
BROWN HILL,2017,350000,190000,255500,265166.6667
BROWN HILL,2018,405000,182500,285000,290833.3333
BUNDOORA,2015,600500,305000,410000,438500
BUNDOORA,2016,651000,650000,400000,567000
BUNDOORA,2017,754000,685000,430000,623000
BUNDOORA,2018,730000,772500,438500,647000
BUNYIP,2015,420000,154000,270000,281333.3333
BUNYIP,2016,357500,180000,327500,288333.3333
BUNYIP,2017,437500,241500,310000,329666.6667
BUNYIP,2018,550000,275000,250000,358333.3333
CANADIAN,2015,345000,140000,270000,251666.6667
CANADIAN,2016,339000,109500,250000,232833.3333
CANADIAN,2017,334500,125000,279000,246166.6667
CANADIAN,2018,373000,145000,270500,262833.3333
CARRUM DOWNS,2015,370000,225000,319000,304666.6667
CARRUM DOWNS,2016,430000,235000,344000,336333.3333
CARRUM DOWNS,2017,530000,300500,387500,406000
CARRUM DOWNS,2018,575000,375000,430000,460000
CASTLEMAINE,2015,380000,130000,317500,275833.3333
CASTLEMAINE,2016,410000,150000,327500,295833.3333
CASTLEMAINE,2017,435000,181000,332500,316166.6667
CASTLEMAINE,2018,499000,190000,396500,361833.3333
CHIRNSIDE PARK,2015,542500,315500,464000,440666.6667
CHIRNSIDE PARK,2016,627000,408000,476500,503833.3333
CHIRNSIDE PARK,2017,735000,472000,495000,567333.3333
CHIRNSIDE PARK,2018,700000,520000,532500,584166.6667
CLYDE NORTH,2015,410000,230000,211000,283666.6667
CLYDE NORTH,2016,491000,243000,372000,368666.6667
CLYDE NORTH,2017,550000,300000,385000,411666.6667
CLYDE NORTH,2018,600000,336000,460500,465500
COBRAM,2015,236000,78000,170000,161333.3333
COBRAM,2016,265000,80500,195000,180166.6667
COBRAM,2017,255000,81500,185000,173833.3333
COBRAM,2018,255000,100500,180000,178500
COLAC,2015,246500,99000,203000,182833.3333
COLAC,2016,259500,97000,269500,208666.6667
COLAC,2017,282500,110000,225000,205833.3333
COLAC,2018,320000,145000,250000,238333.3333
CORIO,2015,240000,170000,206500,205500
CORIO,2016,250000,152000,215000,205666.6667
CORIO,2017,305000,148000,255000,236000
CORIO,2018,370000,174500,295000,279833.3333
COWES,2015,417500,149000,305000,290500
COWES,2016,402500,150500,290000,281000
COWES,2017,437500,157500,305000,300000
COWES,2018,540000,170000,310000,340000
CRAIGIEBURN,2015,390000,230000,339500,319833.3333
CRAIGIEBURN,2016,425000,248000,349000,340666.6667
CRAIGIEBURN,2017,502500,303500,366000,390666.6667
CRAIGIEBURN,2018,547000,348000,393000,429333.3333
CRANBOURNE,2015,360000,214000,281500,285166.6667
CRANBOURNE,2016,406000,210500,285000,300500
CRANBOURNE,2017,510000,325000,358500,397833.3333
CRANBOURNE,2018,540000,382000,400000,440666.6667
CRANBOURNE EAST,2015,437000,211000,379000,342333.3333
CRANBOURNE EAST,2016,460000,232000,379000,357000
CRANBOURNE EAST,2017,535000,295000,418500,416166.6667
CRANBOURNE EAST,2018,574000,345000,440000,453000
CRANBOURNE NORTH,2015,410000,249000,330500,329833.3333
CRANBOURNE NORTH,2016,455000,269000,375000,366333.3333
CRANBOURNE NORTH,2017,541000,284000,405000,410000
CRANBOURNE NORTH,2018,600000,300000,407500,435833.3333
CRANBOURNE WEST,2015,350000,221000,316000,295666.6667
CRANBOURNE WEST,2016,410000,236000,379000,341666.6667
CRANBOURNE WEST,2017,510500,292000,405000,402500
CRANBOURNE WEST,2018,540000,295000,390000,408333.3333
CRESWICK,2015,265000,109500,129000,167833.3333
CRESWICK,2016,292500,125500,221000,213000
CRESWICK,2017,310000,110000,212000,210666.6667
CRESWICK,2018,330000,125000,291500,248833.3333
CROYDON,2015,605000,425000,449000,493000
CROYDON,2016,695000,357500,500000,517500
CROYDON,2017,810000,400000,560000,590000
CROYDON,2018,787500,350000,580000,572500
DARLEY,2015,377500,151500,278500,269166.6667
DARLEY,2016,371500,182000,273000,275500
DARLEY,2017,430000,170000,318500,306166.6667
DARLEY,2018,505000,289000,311000,368333.3333
DAYLESFORD,2015,442500,150000,325000,305833.3333
DAYLESFORD,2016,464000,162500,351000,325833.3333
DAYLESFORD,2017,502000,170000,385000,352333.3333
DAYLESFORD,2018,550000,241000,417500,402833.3333
DIAMOND CREEK,2015,580000,375000,500000,485000
DIAMOND CREEK,2016,646500,400000,585000,543833.3333
DIAMOND CREEK,2017,755000,430500,594500,593333.3333
DIAMOND CREEK,2018,782500,425000,601000,602833.3333
DONCASTER,2015,1176000,795000,577000,849333.3333
DONCASTER,2016,1297500,907500,572500,925833.3333
DONCASTER,2017,1380000,1005000,599000,994666.6667
DONCASTER,2018,1300000,995000,581000,958666.6667
DOREEN,2015,440000,199000,135500,258166.6667
DOREEN,2016,470500,210000,379000,353166.6667
DOREEN,2017,550000,245000,365500,386833.3333
DOREEN,2018,601000,328000,442500,457166.6667
DROMANA,2015,552000,294000,400000,415333.3333
DROMANA,2016,583000,420000,525000,509333.3333
DROMANA,2017,690000,475000,521000,562000
DROMANA,2018,785500,557500,680000,674333.3333
DROUIN,2015,320000,125000,247500,230833.3333
DROUIN,2016,347000,136500,250500,244666.6667
DROUIN,2017,390000,165000,285000,280000
DROUIN,2018,455000,210000,330000,331666.6667
DRYSDALE,2015,410000,164000,303000,292333.3333
DRYSDALE,2016,409000,157000,325000,297000
DRYSDALE,2017,436000,180000,309000,308333.3333
DRYSDALE,2018,510000,225000,382500,372500
EAGLEHAWK,2015,283000,115000,237500,211833.3333
EAGLEHAWK,2016,270000,108000,220000,199333.3333
EAGLEHAWK,2017,295000,100000,228000,207666.6667
EAGLEHAWK,2018,315000,102000,225000,214000
EAST BENDIGO,2015,300000,200000,270000,256666.6667
EAST BENDIGO,2016,303500,185000,325000,271166.6667
EAST BENDIGO,2017,335000,236500,337000,302833.3333
EAST BENDIGO,2018,318000,216000,322000,285333.3333
ECHUCA,2015,300000,140000,255000,231666.6667
ECHUCA,2016,310000,144500,278000,244166.6667
ECHUCA,2017,320000,150500,283000,251166.6667
ECHUCA,2018,365000,154000,278000,265666.6667
EPPING,2015,400000,220000,344000,321333.3333
EPPING,2016,455000,275000,349000,359666.6667
EPPING,2017,557500,245000,375000,392500
EPPING,2018,600000,317000,370000,429000
EPSOM,2015,340000,125000,260000,241666.6667
EPSOM,2016,340000,118000,272500,243500
EPSOM,2017,352000,116500,275000,247833.3333
EPSOM,2018,357000,133000,291000,260333.3333
EUMEMMERRING,2015,408500,315000,325000,349500
EUMEMMERRING,2016,450500,315000,341000,368833.3333
EUMEMMERRING,2017,517500,315000,492500,441666.6667
EUMEMMERRING,2018,622000,321500,414000,452500
FERNTREE GULLY,2015,599000,415000,430000,481333.3333
FERNTREE GULLY,2016,660000,370000,510000,513333.3333
FERNTREE GULLY,2017,749000,400000,555000,568000
FERNTREE GULLY,2018,732500,520000,599000,617166.6667
FLORA HILL,2015,321000,181500,225000,242500
FLORA HILL,2016,325000,155000,240000,240000
FLORA HILL,2017,335000,225000,250000,270000
FLORA HILL,2018,352500,155000,247500,251666.6667
FOSTER,2015,325000,132000,248000,235000
FOSTER,2016,315000,165000,260000,246666.6667
FOSTER,2017,320000,142500,200000,220833.3333
FOSTER,2018,333500,111000,200000,214833.3333
GISBORNE,2015,550000,245000,435000,410000
GISBORNE,2016,635000,286000,447500,456166.6667
GISBORNE,2017,655000,297500,450000,467500
GISBORNE,2018,770000,410000,507500,562500
GOLDEN SQUARE,2015,306000,178500,245000,243166.6667
GOLDEN SQUARE,2016,315000,175000,250000,246666.6667
GOLDEN SQUARE,2017,320000,173500,272000,255166.6667
GOLDEN SQUARE,2018,334000,139500,250000,241166.6667
GREENVALE,2015,500000,260000,385000,381666.6667
GREENVALE,2016,510000,292000,395000,399000
GREENVALE,2017,650000,342000,427500,473166.6667
GREENVALE,2018,720000,426000,485000,543666.6667
GROVEDALE,2015,370000,200000,275000,281666.6667
GROVEDALE,2016,400000,195000,302500,299166.6667
GROVEDALE,2017,432000,255000,330000,339000
GROVEDALE,2018,495000,329000,359000,394333.3333
HAMILTON,2015,200000,88000,207000,165000
HAMILTON,2016,217000,98000,195000,170000
HAMILTON,2017,190000,76500,175000,147166.6667
HAMILTON,2018,225000,91000,168000,161333.3333
HASTINGS,2015,365000,232500,295000,297500
HASTINGS,2016,400000,249000,320000,323000
HASTINGS,2017,507500,250000,340000,365833.3333
HASTINGS,2018,519500,268000,450000,412500
HEALESVILLE,2015,445000,190000,360000,331666.6667
HEALESVILLE,2016,457000,247500,407500,370666.6667
HEALESVILLE,2017,550000,310000,435500,431833.3333
HEALESVILLE,2018,601000,300000,450000,450333.3333
HERNE HILL,2015,368500,248000,213000,276500
HERNE HILL,2016,402000,190000,226000,272666.6667
HERNE HILL,2017,490000,313000,260000,354333.3333
HERNE HILL,2018,550000,285000,277500,370833.3333
HIGHTON,2015,505000,250000,334000,363000
HIGHTON,2016,555000,260000,358000,391000
HIGHTON,2017,622500,260000,337500,406666.6667
HIGHTON,2018,681000,284000,390000,451666.6667
HOPPERS CROSSING,2015,365500,350000,290000,335166.6667
HOPPERS CROSSING,2016,415000,340000,305000,353333.3333
HOPPERS CROSSING,2017,516000,427500,370000,437833.3333
HOPPERS CROSSING,2018,552000,445000,387500,461500
HORSHAM,2015,240000,105000,212500,185833.3333
HORSHAM,2016,245000,102000,227500,191500
HORSHAM,2017,262500,116000,259500,212666.6667
HORSHAM,2018,255000,112000,248500,205166.6667
INVERLOCH,2015,425000,200000,317000,314000
INVERLOCH,2016,442500,205000,365000,337500
INVERLOCH,2017,495000,259000,360000,371333.3333
INVERLOCH,2018,598000,260000,487500,448500
IRYMPLE,2015,268000,115000,230000,204333.3333
IRYMPLE,2016,255000,99500,165000,173166.6667
IRYMPLE,2017,291000,115000,207500,204500
IRYMPLE,2018,310000,131500,191500,211000
KANGAROO FLAT,2015,303000,135500,240500,226333.3333
KANGAROO FLAT,2016,300000,140000,237500,225833.3333
KANGAROO FLAT,2017,310000,135000,213500,219500
KANGAROO FLAT,2018,325000,139000,237500,233833.3333
KEYSBOROUGH,2015,559500,370000,511000,480166.6667
KEYSBOROUGH,2016,650000,553000,490000,564333.3333
KEYSBOROUGH,2017,745000,565000,551000,620333.3333
KEYSBOROUGH,2018,768000,555000,577500,633500
KILMORE,2015,336500,105000,255000,232166.6667
KILMORE,2016,333000,112500,275000,240166.6667
KILMORE,2017,387500,127500,275000,263333.3333
KILMORE,2018,440000,220000,315000,325000
KOO WEE RUP,2015,345000,200000,270000,271666.6667
KOO WEE RUP,2016,400000,225000,277500,300833.3333
KOO WEE RUP,2017,450000,254000,361500,355166.6667
KOO WEE RUP,2018,510000,299000,372500,393833.3333
KORUMBURRA,2015,262500,110000,198000,190166.6667
KORUMBURRA,2016,257500,123000,210000,196833.3333
KORUMBURRA,2017,292000,129000,221500,214166.6667
KORUMBURRA,2018,317500,150000,259000,242166.6667
KURUNJANG,2015,289500,130000,261000,226833.3333
KURUNJANG,2016,310000,132500,250000,230833.3333
KURUNJANG,2017,370000,150500,309000,276500
KURUNJANG,2018,435500,215000,360000,336833.3333
KYABRAM,2015,240000,110000,160000,170000
KYABRAM,2016,234000,115000,199000,182666.6667
KYABRAM,2017,239000,115000,220000,191333.3333
KYABRAM,2018,261000,114000,227000,200666.6667
KYNETON,2015,425500,178500,325000,309666.6667
KYNETON,2016,455000,195000,360500,336833.3333
KYNETON,2017,495000,211000,389000,365000
KYNETON,2018,550000,230000,408000,396000
LAKES ENTRANCE,2015,255500,79500,250000,195000
LAKES ENTRANCE,2016,280000,98000,252500,210166.6667
LAKES ENTRANCE,2017,281500,101000,265000,215833.3333
LAKES ENTRANCE,2018,328000,96500,257000,227166.6667
LALOR,2015,445000,282500,327000,351500
LALOR,2016,499500,330000,375500,401666.6667
LALOR,2017,625500,405000,440500,490333.3333
LALOR,2018,625000,506000,430000,520333.3333
LANGWARRIN,2015,450000,250000,316500,338833.3333
LANGWARRIN,2016,503000,371000,356500,410166.6667
LANGWARRIN,2017,600000,297500,431000,442833.3333
LANGWARRIN,2018,642500,353500,460000,485333.3333
LARA,2015,348000,195000,300000,281000
LARA,2016,355000,194000,294000,281000
LARA,2017,430000,225000,320000,325000
LARA,2018,515000,365000,353000,411000
LEONGATHA,2015,305000,140500,292500,246000
LEONGATHA,2016,305000,152500,276000,244500
LEONGATHA,2017,320000,135000,267500,240833.3333
LEONGATHA,2018,360000,155000,265000,260000
