suburb,Year,House price,Vacant Price,Unit price,Average
LEOPOLD,2015,365000,176500,285000,275500
LEOPOLD,2016,407000,179000,308000,298000
LEOPOLD,2017,447000,216500,308500,324000
LEOPOLD,2018,500500,245000,360000,368500
LILYDALE,2015,534000,290000,400000,408000
LILYDALE,2016,633500,388000,440000,487166.6667
LILYDALE,2017,710500,352500,464000,509000
LILYDALE,2018,708000,510000,525500,581166.6667
LONGWARRY,2015,307000,123000,252500,227500
LONGWARRY,2016,335000,134000,270500,246500
LONGWARRY,2017,378000,160000,308000,282000
LONGWARRY,2018,408500,200000,347500,318666.6667
LYNBROOK,2015,500000,225000,370000,365000
LYNBROOK,2016,542500,326000,421000,429833.3333
LYNBROOK,2017,595000,320000,450000,455000
LYNBROOK,2018,640000,250000,244000,378000
MADDINGLEY,2015,332500,156000,288000,258833.3333
MADDINGLEY,2016,346000,153000,299000,266000
MADDINGLEY,2017,395000,174000,316500,295166.6667
MADDINGLEY,2018,442000,206000,379000,342333.3333
MAFFRA,2015,230000,109000,214000,184333.3333
MAFFRA,2016,258000,111500,227000,198833.3333
MAFFRA,2017,251500,113000,225000,196500
MAFFRA,2018,261500,109000,205000,191833.3333
MANSFIELD,2015,367500,160000,275000,267500
MANSFIELD,2016,359000,180000,200000,246333.3333
MANSFIELD,2017,385000,172500,247500,268333.3333
MANSFIELD,2018,430000,174000,334000,312666.6667
MARYBOROUGH,2015,192500,76000,193500,154000
MARYBOROUGH,2016,206500,90000,219000,171833.3333
MARYBOROUGH,2017,194000,85000,215000,164666.6667
MARYBOROUGH,2018,229500,83000,227500,180000
MELTON SOUTH,2015,260000,150000,221500,210500
MELTON SOUTH,2016,275500,160000,230000,221833.3333
MELTON SOUTH,2017,377000,187000,280000,281333.3333
MELTON SOUTH,2018,417000,222000,320000,319666.6667
MERNDA,2015,410000,191000,315000,305333.3333
MERNDA,2016,430000,217000,317500,321500
MERNDA,2017,525500,244000,355000,374833.3333
MERNDA,2018,573500,329500,385000,429333.3333
METUNG,2015,299000,65000,311000,225000
METUNG,2016,360000,65000,225000,216666.6667
METUNG,2017,347500,126500,212500,228833.3333
METUNG,2018,371500,120000,265000,252166.6667
MILDURA,2015,252000,95500,163000,170166.6667
MILDURA,2016,260000,96000,182000,179333.3333
MILDURA,2017,264000,108000,190000,187333.3333
MILDURA,2018,281500,129000,225000,211833.3333
MOE,2015,162500,122000,126000,136833.3333
MOE,2016,173000,129000,137000,146333.3333
MOE,2017,175000,121500,135000,143833.3333
MOE,2018,200000,124000,133500,152500
MOOROOLBARK,2015,558500,321000,410500,430000
MOOROOLBARK,2016,620000,325000,495000,480000
MOOROOLBARK,2017,726000,372500,596500,565000
MOOROOLBARK,2018,720000,400000,569000,563000
MOOROOPNA,2015,230000,100000,165000,165000
MOOROOPNA,2016,215500,106000,167000,162833.3333
MOOROOPNA,2017,225000,105000,161500,163833.3333
MOOROOPNA,2018,230000,105000,164000,166333.3333
MORNINGTON,2015,641000,295000,485000,473666.6667
MORNINGTON,2016,745000,434500,587000,588833.3333
MORNINGTON,2017,800000,840000,600000,746666.6667
MORNINGTON,2018,850000,820000,670000,780000
MORWELL,2015,150000,110000,180000,146666.6667
MORWELL,2016,153000,96000,155000,134666.6667
MORWELL,2017,170000,107000,165000,147333.3333
MORWELL,2018,167000,119000,150000,145333.3333
MOUNT CLEAR,2015,322500,148000,215000,228500
MOUNT CLEAR,2016,345000,140000,227500,237500
MOUNT CLEAR,2017,345000,178000,263000,262000
MOUNT CLEAR,2018,379000,145000,270000,264666.6667
MOUNT ELIZA,2015,832000,440000,445000,572333.3333
MOUNT ELIZA,2016,950000,561000,500000,670333.3333
MOUNT ELIZA,2017,1137500,607500,590000,778333.3333
MOUNT ELIZA,2018,1220000,735000,535000,830000
MOUNT MARTHA,2015,780000,534500,510000,608166.6667
MOUNT MARTHA,2016,965000,670000,550000,728333.3333
MOUNT MARTHA,2017,1050000,870000,631500,850500
MOUNT MARTHA,2018,1202500,1065000,570000,945833.3333
MOUNT PLEASANT,2015,293500,137000,264500,231666.6667
MOUNT PLEASANT,2016,297500,109000,255000,220500
MOUNT PLEASANT,2017,293000,100000,266500,219833.3333
MOUNT PLEASANT,2018,350000,110000,275000,245000
MULGRAVE,2015,765500,516500,600000,627333.3333
MULGRAVE,2016,786000,660000,614500,686833.3333
MULGRAVE,2017,900500,706000,665000,757166.6667
MULGRAVE,2018,860000,740500,750000,783500
MYRTLEFORD,2015,242000,95000,185000,174000
MYRTLEFORD,2016,270500,94000,265000,209833.3333
MYRTLEFORD,2017,265000,128000,229000,207333.3333
MYRTLEFORD,2018,295000,130000,241500,222166.6667
NAGAMBIE,2015,360500,115000,320000,265166.6667
NAGAMBIE,2016,336000,120000,262500,239500
NAGAMBIE,2017,330000,125000,270000,241666.6667
NAGAMBIE,2018,385000,120000,340000,281666.6667
NARRE WARREN,2015,430000,220000,319000,323000
NARRE WARREN,2016,487500,445000,350000,427500
NARRE WARREN,2017,590000,402500,420000,470833.3333
NARRE WARREN,2018,615500,455000,440000,503500
NEWBOROUGH,2015,220000,87500,156000,154500
NEWBOROUGH,2016,224500,103500,161500,163166.6667
NEWBOROUGH,2017,220000,107500,135500,154333.3333
NEWBOROUGH,2018,250000,122000,165000,179000
NORTH BENDIGO,2015,286000,116000,264500,222166.6667
NORTH BENDIGO,2016,279000,133000,240000,217333.3333
NORTH BENDIGO,2017,302000,115000,252500,223166.6667
NORTH BENDIGO,2018,310000,129500,266000,235166.6667
NUMURKAH,2015,219000,83000,205000,169000
NUMURKAH,2016,195000,85000,160000,146666.6667
NUMURKAH,2017,219000,112000,152500,161166.6667
NUMURKAH,2018,225000,97500,190000,170833.3333
OCEAN GROVE,2015,516500,219500,435000,390333.3333
OCEAN GROVE,2016,555000,225000,491500,423833.3333
OCEAN GROVE,2017,637000,244000,537500,472833.3333
OCEAN GROVE,2018,690000,326000,605000,540333.3333
OFFICER,2015,375000,211000,362000,316000
OFFICER,2016,440000,232500,369000,347166.6667
OFFICER,2017,480000,272000,387000,379666.6667
OFFICER,2018,550000,329000,449000,442666.6667
PAKENHAM,2015,367000,187000,290000,281333.3333
PAKENHAM,2016,400000,199000,310000,303000
PAKENHAM,2017,470000,230000,355500,351833.3333
PAKENHAM,2018,520000,300000,399000,406333.3333
PAYNESVILLE,2015,302500,141500,233000,225666.6667
PAYNESVILLE,2016,308000,115000,266000,229666.6667
PAYNESVILLE,2017,335000,145000,272500,250833.3333
PAYNESVILLE,2018,353000,155000,272500,260166.6667
POINT COOK,2015,465000,280000,355000,366666.6667
POINT COOK,2016,505000,305000,377500,395833.3333
POINT COOK,2017,592000,330000,449500,457166.6667
POINT COOK,2018,631500,440000,472000,514500
POINT LONSDALE,2015,655000,265000,475000,465000
POINT LONSDALE,2016,641000,251500,610000,500833.3333
POINT LONSDALE,2017,775000,320000,557500,550833.3333
POINT LONSDALE,2018,840000,367500,675000,627500
PORT FAIRY,2015,447500,185000,331000,321166.6667
PORT FAIRY,2016,473500,220000,395000,362833.3333
PORT FAIRY,2017,500000,215000,590000,435000
PORT FAIRY,2018,651000,235000,447500,444500
PORTARLINGTON,2015,409000,192000,340000,313666.6667
PORTARLINGTON,2016,460000,180000,356500,332166.6667
PORTARLINGTON,2017,515000,200000,405000,373333.3333
PORTARLINGTON,2018,640000,250000,460000,450000
PORTLAND,2015,220000,52000,210000,160666.6667
PORTLAND,2016,220000,82000,150000,150666.6667
PORTLAND,2017,230000,50000,180000,153333.3333
PORTLAND,2018,234500,76000,171500,160666.6667
RIDDELLS CREEK,2015,456500,245000,326500,342666.6667
RIDDELLS CREEK,2016,500000,260000,380000,380000
RIDDELLS CREEK,2017,580000,269500,386500,412000
RIDDELLS CREEK,2018,675000,360000,400000,478333.3333
ROMSEY,2015,420000,179000,315500,304833.3333
ROMSEY,2016,428000,186000,330500,314833.3333
ROMSEY,2017,470000,204000,288000,320666.6667
ROMSEY,2018,550000,261000,350000,387000
ROSEBUD,2015,389000,205000,380000,324666.6667
ROSEBUD,2016,445000,340000,432000,405666.6667
ROSEBUD,2017,536000,360000,499000,465000
ROSEBUD,2018,590000,320000,535000,481666.6667
ROXBURGH PARK,2015,400000,239000,324000,321000
ROXBURGH PARK,2016,435000,263000,321000,339666.6667
ROXBURGH PARK,2017,515000,263500,398000,392166.6667
ROXBURGH PARK,2018,546000,277500,390000,404500
RYE,2015,488000,275000,370000,377666.6667
RYE,2016,550000,282500,420000,417500
RYE,2017,658000,370000,490000,506000
RYE,2018,705000,450000,550000,568333.3333
SAFETY BEACH,2015,595000,305000,312000,404000
SAFETY BEACH,2016,665000,420500,453500,513000
SAFETY BEACH,2017,780000,447500,668000,631833.3333
SAFETY BEACH,2018,849000,450000,655000,651333.3333
SALE,2015,298000,125500,220000,214500
SALE,2016,295500,128000,221000,214833.3333
SALE,2017,300000,137000,282500,239833.3333
SALE,2018,308000,142000,215000,221666.6667
SAN REMO,2015,420000,250000,255000,308333.3333
SAN REMO,2016,460000,249000,294000,334333.3333
SAN REMO,2017,497000,240000,351000,362666.6667
SAN REMO,2018,515000,275000,360000,383333.3333
SEBASTOPOL,2015,244500,105000,215000,188166.6667
SEBASTOPOL,2016,248000,111000,212000,190333.3333
SEBASTOPOL,2017,256000,115000,218000,196333.3333
SEBASTOPOL,2018,289500,116500,236000,214000
SEYMOUR,2015,225000,82000,179500,162166.6667
SEYMOUR,2016,242500,112500,190000,181666.6667
SEYMOUR,2017,277000,89500,163000,176500
SEYMOUR,2018,295000,140000,195000,210000
SHEPPARTON,2015,250000,127000,215000,197333.3333
SHEPPARTON,2016,265000,128000,210000,201000
SHEPPARTON,2017,261000,124500,225000,203500
SHEPPARTON,2018,275000,127500,195000,199166.6667
SOMERVILLE,2015,425000,278000,320000,341000
SOMERVILLE,2016,465000,315000,350000,376666.6667
SOMERVILLE,2017,580000,325000,403500,436166.6667
SOMERVILLE,2018,615000,374000,475000,488000
SOUTH MORANG,2015,450000,270000,360000,360000
SOUTH MORANG,2016,502000,280000,365000,382333.3333
SOUTH MORANG,2017,610500,274000,423000,435833.3333
SOUTH MORANG,2018,635000,419000,450000,501333.3333
SPRING GULLY,2015,350000,315000,210000,291666.6667
SPRING GULLY,2016,350000,194000,220000,254666.6667
SPRING GULLY,2017,390000,321500,306500,339333.3333
SPRING GULLY,2018,400000,199500,282500,294000
ST ALBANS,2015,428000,311500,325000,354833.3333
ST ALBANS,2016,500000,452500,340000,430833.3333
ST ALBANS,2017,621000,495000,385000,500333.3333
ST ALBANS,2018,626500,555000,440000,540500
ST LEONARDS,2015,375000,181500,382500,313000
ST LEONARDS,2016,421500,179000,325000,308500
ST LEONARDS,2017,469000,165000,356000,330000
ST LEONARDS,2018,571500,199000,345000,371833.3333
STRATHDALE,2015,410500,234000,252500,299000
STRATHDALE,2016,445000,239000,239500,307833.3333
STRATHDALE,2017,380000,267500,270000,305833.3333
STRATHDALE,2018,420000,242000,260000,307333.3333
SUNBURY,2015,370000,215000,320000,301666.6667
SUNBURY,2016,395000,218000,358000,323666.6667
SUNBURY,2017,492000,235000,375000,367333.3333
SUNBURY,2018,545000,332000,415000,430666.6667
SUNSHINE NORTH,2015,495000,280000,355000,376666.6667
SUNSHINE NORTH,2016,560000,387500,415000,454166.6667
SUNSHINE NORTH,2017,651000,430000,450000,510333.3333
SUNSHINE NORTH,2018,682500,315000,455500,484333.3333
SWAN HILL,2015,248000,88000,189000,175000
SWAN HILL,2016,262500,102500,230000,198333.3333
SWAN HILL,2017,252000,109000,222500,194500
SWAN HILL,2018,267000,138000,212000,205666.6667
TARNEIT,2015,400000,210000,300000,303333.3333
TARNEIT,2016,445000,225000,320500,330166.6667
TARNEIT,2017,515000,274500,377500,389000
TARNEIT,2018,568500,297000,403000,422833.3333
TATURA,2015,233000,95000,197500,175166.6667
TATURA,2016,228000,105000,184500,172500
TATURA,2017,262000,112500,180000,184833.3333
TATURA,2018,250000,125000,195000,190000
TORQUAY,2015,620000,250000,472000,447333.3333
TORQUAY,2016,665000,268000,485000,472666.6667
TORQUAY,2017,720000,295000,599000,538000
TORQUAY,2018,810000,358500,660000,609500
TRAFALGAR,2015,310000,140000,235000,228333.3333
TRAFALGAR,2016,312500,147500,250000,236666.6667
TRAFALGAR,2017,333500,147000,275000,251833.3333
TRAFALGAR,2018,375000,195000,297500,289166.6667
TRARALGON,2015,273000,152500,209000,211500
TRARALGON,2016,268500,150000,225000,214500
TRARALGON,2017,288500,143000,205000,212166.6667
TRARALGON,2018,298000,138000,213500,216500
TRUGANINA,2015,391000,229000,325000,315000
TRUGANINA,2016,430000,254500,334000,339500
TRUGANINA,2017,519500,285000,408000,404166.6667
TRUGANINA,2018,574500,325000,430000,443166.6667
WALLAN,2015,362000,150500,263000,258500
WALLAN,2016,375000,155000,277000,269000
WALLAN,2017,425000,185000,310000,306666.6667
WALLAN,2018,490000,245000,330000,355000
WALLAN EAST,2015,309500,148000,245000,234166.6667
WALLAN EAST,2016,352500,153000,277000,260833.3333
WALLAN EAST,2017,410000,159000,322000,297000
WALLAN EAST,2018,489000,255000,376500,373500
WANGARATTA,2015,272000,131000,210000,204333.3333
WANGARATTA,2016,270500,132000,202000,201500
WANGARATTA,2017,270000,151000,190000,203666.6667
WANGARATTA,2018,320000,162000,202500,228166.6667
WANTIRNA SOUTH,2015,829000,505000,485000,606333.3333
WANTIRNA SOUTH,2016,875000,465000,501500,613833.3333
WANTIRNA SOUTH,2017,1005000,516500,510000,677166.6667
WANTIRNA SOUTH,2018,1000000,572500,520000,697500
WARRAGUL,2015,342000,143000,242500,242500
WARRAGUL,2016,340000,149000,263000,250666.6667
WARRAGUL,2017,364000,170000,290000,274666.6667
WARRAGUL,2018,449000,201500,312500,321000
WARRNAMBOOL,2015,330000,140000,255000,241666.6667
WARRNAMBOOL,2016,320000,150000,252500,240833.3333
WARRNAMBOOL,2017,330000,150000,257000,245666.6667
WARRNAMBOOL,2018,350000,149000,252000,250333.3333
WENDOUREE,2015,250000,131000,209000,196666.6667
WENDOUREE,2016,252500,150000,240000,214166.6667
WENDOUREE,2017,267500,145000,232500,215000
WENDOUREE,2018,326000,135000,225000,228666.6667
WERRIBEE,2015,335000,191500,287500,271333.3333
WERRIBEE,2016,403000,208000,305000,305333.3333
WERRIBEE,2017,470000,253000,360000,361000
WERRIBEE,2018,510000,298000,390000,399333.3333
WERRIBEE SOUTH,2015,680000,345000,589000,538000
WERRIBEE SOUTH,2016,519000,389000,432000,446666.6667
WERRIBEE SOUTH,2017,620000,388500,480000,496166.6667
WERRIBEE SOUTH,2018,735000,402000,420000,519000
WEST WODONGA,2015,306000,133000,198000,212333.3333
WEST WODONGA,2016,308500,130000,205000,214500
WEST WODONGA,2017,321000,129000,208000,219333.3333
WEST WODONGA,2018,321000,136000,215000,224000
WHITE HILLS,2015,297500,135000,210000,214166.6667
WHITE HILLS,2016,305000,145000,295000,248333.3333
WHITE HILLS,2017,300000,157500,260000,239166.6667
WHITE HILLS,2018,313500,160500,299000,257666.6667
WILLIAMSTOWN NORTH,2015,862500,451000,489500,601000
WILLIAMSTOWN NORTH,2016,1135500,451000,548000,711500
WILLIAMSTOWN NORTH,2017,1024000,522500,531500,692666.6667
WILLIAMSTOWN NORTH,2018,860000,513000,577000,650000
WINCHELSEA,2015,262000,127500,292000,227166.6667
WINCHELSEA,2016,267000,158000,280000,235000
WINCHELSEA,2017,357000,168000,315000,280000
WINCHELSEA,2018,391000,178000,316000,295000
WODONGA,2015,295000,124000,188500,202500
WODONGA,2016,315000,135000,206000,218666.6667
WODONGA,2017,341500,141000,240000,240833.3333
WODONGA,2018,350000,146000,233500,243166.6667
WOLLERT,2015,430000,217000,339000,328666.6667
WOLLERT,2016,460000,233000,390000,361000
WOLLERT,2017,530000,265000,420000,405000
WOLLERT,2018,570000,309000,406000,428333.3333
WONTHAGGI,2015,260000,132000,215000,202333.3333
WONTHAGGI,2016,265000,135000,257000,219000
WONTHAGGI,2017,289000,145000,260000,231333.3333
WONTHAGGI,2018,339000,145000,306500,263500
WOODEND,2015,482500,230500,422000,378333.3333
WOODEND,2016,460000,235000,430000,375000
WOODEND,2017,560000,280000,560000,466666.6667
WOODEND,2018,665000,375500,470000,503500
WYNDHAM VALE,2015,325000,174000,240000,246333.3333
WYNDHAM VALE,2016,365000,198000,211000,258000
WYNDHAM VALE,2017,436000,226000,254500,305500
WYNDHAM VALE,2018,480000,285500,371000,378833.3333
YARRAWONGA,2015,300500,110000,228000,212833.3333
YARRAWONGA,2016,320000,118500,232500,223666.6667
YARRAWONGA,2017,324500,130000,236000,230166.6667
YARRAWONGA,2018,345000,158000,248000,250333.3333
